rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs
1,0.6248241980314762,0.8214237928569113,0.7479782201716746,0.25957979234604633,0.623564535942013,0.8180504268120522,0.707206513464177,105018,wbf,0.75,0.0005,1,1.000 1.100,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
37,0.6210066764594753,0.8157599556060987,0.7428774293984421,0.25032755284598096,0.6198019539066361,0.8147315662900293,0.7066337885694485,104270,wbf,0.7,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
38,0.6210066764594753,0.8157599556060987,0.7428774293984421,0.25032755284598096,0.6197351652372479,0.8147315662900293,0.7063816269486851,101361,wbf,0.7,0.001,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
39,0.6209784526700041,0.8157347531294439,0.7427036195554761,0.25155099939023184,0.6196888969595336,0.8151197010954488,0.7066042852738774,105223,wbf,0.75,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
40,0.6209784526700041,0.8157347531294439,0.7427036195554761,0.25155099939023184,0.6196224233310386,0.8151197010954488,0.7063521236531141,102245,wbf,0.75,0.001,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
41,0.6209677557930562,0.815969745919511,0.7424639715947987,0.2511608513345349,0.6195754900093141,0.8152114775598865,0.7065762969748177,105391,wbf,0.8,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
42,0.6209677557930562,0.815969745919511,0.7424639715947987,0.2511608513345349,0.6195754900093141,0.8152114775598865,0.7063241353540544,102374,wbf,0.8,0.001,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
43,0.620734895470375,0.8158138158316273,0.7423831096599312,0.25129028237399237,0.6190666562576407,0.8154818670155156,0.7061409700920339,105453,wbf,0.85,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
44,0.620734895470375,0.8158138158316273,0.7423831096599312,0.25129028237399237,0.6190666562576407,0.8154818670155156,0.7058888084712706,102399,wbf,0.85,0.001,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
45,0.6204477182921694,0.8157202692843616,0.7414847985603157,0.24924602787588532,0.6199897169824836,0.8123454645608482,0.7051698192871911,88772,wbf,0.65,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
46,0.6204477182921694,0.8157202692843616,0.7414847985603157,0.24924602787588532,0.6199196635811202,0.8123454645608482,0.7049215434251223,86444,wbf,0.65,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
47,0.6200234295477765,0.8151746585941012,0.7409411364788808,0.2513894281319627,0.6185094320152666,0.812920359548647,0.7057457714485635,105394,wbf,0.8,0.0005,1,1.000 0.500,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
48,0.6200234295477765,0.8151746585941012,0.7409411364788808,0.2513894281319627,0.6185094320152666,0.812920359548647,0.7054936098278002,102377,wbf,0.8,0.001,1,1.000 0.500,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
49,0.6198951029765152,0.8144276312267374,0.7411485548925569,0.2517217619796552,0.6186127083849975,0.8128338501720223,0.7058590573647909,105254,wbf,0.75,0.0005,1,1.000 0.500,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
50,0.6198951029765152,0.8144276312267374,0.7411485548925569,0.2517217619796552,0.6186127083849975,0.8128338501720223,0.7056068957440276,102275,wbf,0.75,0.001,1,1.000 0.500,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
51,0.6198855227588466,0.8144436064357611,0.7413485390395392,0.2503460889608896,0.6186088562400882,0.8122815678001611,0.7058049851279535,104326,wbf,0.7,0.0005,1,1.000 0.500,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
52,0.6198855227588466,0.8144436064357611,0.7413485390395392,0.2503460889608896,0.6186088562400882,0.8122815678001611,0.7055528235071903,101415,wbf,0.7,0.001,1,1.000 0.500,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
53,0.6197655623613108,0.8150227906296714,0.7408410240781289,0.2515102949129383,0.6181984736635515,0.8131353407863103,0.7053596748540159,105453,wbf,0.85,0.0005,1,1.000 0.500,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
54,0.6197655623613108,0.8150227906296714,0.7408410240781289,0.2515102949129383,0.6181984736635515,0.8131353407863103,0.7051075132332525,102399,wbf,0.85,0.001,1,1.000 0.500,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
55,0.6197394255724024,0.8152605274284227,0.7411858046970435,0.24813908078057678,0.6194489489813396,0.8119346821468671,0.704891222914532,88716,wbf,0.65,0.0005,1,1.000 0.800,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
56,0.6197394255724024,0.8152605274284227,0.7411858046970435,0.24813908078057678,0.6193256165488409,0.8119346821468671,0.7046429470524629,86386,wbf,0.65,0.001,1,1.000 0.800,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
57,0.6197179306429589,0.8156776635074048,0.7406187994037411,0.24604799378192,0.6194366719569805,0.812196064515608,0.7041576814728971,79391,wbf,0.6,0.0005,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
58,0.6197179306429589,0.8156776635074048,0.7406187994037411,0.24604799378192,0.6193639056442047,0.812196064515608,0.7039094056108283,77426,wbf,0.6,0.001,1,1.000 0.950,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
59,0.6194899171199554,0.8150031459038813,0.7407507785633609,0.24861066691870448,0.6191069685717597,0.8117615405323656,0.7046726937803706,88693,wbf,0.65,0.0005,1,1.000 0.700,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
60,0.6194899171199554,0.8150031459038813,0.7407507785633609,0.24861066691870448,0.6189835340428764,0.8117615405323656,0.7044244179183017,86364,wbf,0.65,0.001,1,1.000 0.700,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
61,0.6192299392820104,0.8149665948263317,0.7404851671621265,0.2485586342655664,0.6187058785123255,0.8115349989820562,0.7043472307242353,88685,wbf,0.65,0.0005,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
62,0.6192299392820104,0.8149665948263317,0.7404851671621265,0.2485586342655664,0.6186359409974822,0.8115349989820562,0.7040989548621666,86357,wbf,0.65,0.001,1,1.000 0.650,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
63,0.6191380351590439,0.8152809163451828,0.7404903084321667,0.2460470727830571,0.6187508958452598,0.8118343890822918,0.7038606308466993,79308,wbf,0.6,0.0005,1,1.000 0.800,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
64,0.6191380351590439,0.8152809163451828,0.7404903084321667,0.2460470727830571,0.6186227954063499,0.8118343890822918,0.7036123549846303,77342,wbf,0.6,0.001,1,1.000 0.800,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
65,0.6190874353744606,0.8150770136187145,0.7405550810603284,0.2508084941676065,0.6177472081602683,0.811441858986589,0.7049792029727281,105399,wbf,0.8,0.0005,1,1.000 0.350,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
66,0.6190874353744606,0.8150770136187145,0.7405550810603284,0.2508084941676065,0.6176351051578358,0.811441858986589,0.704727041351965,102382,wbf,0.8,0.001,1,1.000 0.350,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
67,0.6189347160963152,0.8143228038974619,0.7408533515127191,0.24934497506537093,0.617803502107583,0.8109365667358719,0.7049669185020951,104378,wbf,0.7,0.0005,1,1.000 0.350,submissions\phase0_rgbt2\rgbt_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json
