rank,ap,ap50,ap75,aps,apm,apl,ar100,detections,method,iou_thr,score_thr,primary_count,weights,inputs,category_id
1,0.7922813245984887,0.9600593544989985,0.9369374606895579,0.000514974098028998,0.7564545301490905,0.880646589558026,0.832192648922687,2364,wbf,0.74,0.0005,1,1.000 0.650,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
92,0.7905762155074078,0.9601457454122787,0.9369316647968409,0.0,0.7536974649292717,0.87848360026468,0.8290240811153359,2064,wbf,0.65,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
93,0.790334135070814,0.9600438631532677,0.9368723279950442,0.0005102350725870133,0.7545947360407145,0.8792320409776899,0.8304182509505702,2372,wbf,0.85,0.0005,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
94,0.790334135070814,0.9600438631532677,0.9368723279950442,0.0,0.7545947360407145,0.8792320409776899,0.8294043092522179,2324,wbf,0.85,0.001,1,1.000 0.550,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
95,0.7902259372268569,0.9600593544989985,0.9369462818937002,0.000514974098028998,0.7555333444340686,0.8790494468474177,0.8305449936628643,2364,wbf,0.74,0.0005,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
96,0.7901996610068742,0.9600045538382094,0.9368732002618496,0.000514974098028998,0.755507594811423,0.8790494468474177,0.8304182509505702,2366,wbf,0.75,0.0005,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
97,0.7901510325155031,0.9599582664061248,0.936877867071571,0.0005198019801980198,0.7553815166862693,0.8790413476551941,0.8305449936628643,2350,wbf,0.7,0.0005,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
98,0.7901396027856776,0.9599467931164023,0.9368447426504406,0.000514974098028998,0.7553609023894363,0.8790494468474177,0.8305449936628643,2361,wbf,0.72,0.0005,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
99,0.7901214706423386,0.9600878151390166,0.9383420406144228,0.0005102350725870133,0.7542756555178688,0.8792080670389862,0.8301647655259823,2372,wbf,0.85,0.0005,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
100,0.7901214706423386,0.9600878151390166,0.9383420406144228,0.0,0.7542756555178688,0.8792080670389862,0.8291508238276298,2324,wbf,0.85,0.001,1,1.000 0.950,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
101,0.7899727311191703,0.9600606902412114,0.9369250341716796,0.0005118050266565117,0.7555669016428193,0.8790453972513059,0.8301647655259823,2371,wbf,0.8,0.0005,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
102,0.7899727311191703,0.9600606902412114,0.9369250341716796,0.0,0.7555669016428193,0.8790453972513059,0.8291508238276298,2323,wbf,0.8,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
103,0.7899576631513544,0.9600593544989985,0.9369462818937002,0.0,0.7555333444340686,0.8790494468474177,0.829531051964512,2317,wbf,0.74,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
104,0.7899466038186452,0.9600263946812776,0.9368944772968746,0.0005133846718005133,0.755518157173302,0.8790494468474177,0.8302915082382762,2369,wbf,0.78,0.0005,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
105,0.7899466038186452,0.9600263946812776,0.9368944772968746,0.0,0.755518157173302,0.8790494468474177,0.8292775665399239,2321,wbf,0.78,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
106,0.7899316138975947,0.9600045538382094,0.9368732002618496,0.0,0.755507594811423,0.8790494468474177,0.8294043092522181,2318,wbf,0.75,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
107,0.789894066563087,0.9600438631532677,0.9368810349483893,0.0005102350725870133,0.7546427134596426,0.8790942907360194,0.8297845373891001,2372,wbf,0.85,0.0005,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
108,0.789894066563087,0.9600438631532677,0.9368810349483893,0.0,0.7546427134596426,0.8790942907360194,0.8287705956907476,2324,wbf,0.85,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
109,0.7898811588501127,0.9599582664061248,0.936877867071571,0.0,0.7553815166862693,0.8790413476551941,0.829531051964512,2303,wbf,0.7,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
110,0.7898709875392441,0.9599467931164023,0.9368447426504406,0.0,0.7553609023894363,0.8790494468474177,0.829531051964512,2314,wbf,0.72,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
111,0.7894695450189163,0.9601457454122787,0.9369403717501859,0.0005983332146164257,0.7532835900054439,0.8778604338549915,0.8288973384030418,2106,wbf,0.65,0.0005,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
112,0.7894695450189163,0.9601457454122787,0.9369403717501859,0.0,0.7532835900054439,0.8778604338549915,0.8278833967046895,2063,wbf,0.65,0.001,1,1.000 0.450,submissions\yolo11m_rgbt_aug_domain_w0_tta_val.json | submissions\gem_adapter_yolo_pretrained_fix_last_val.json,3
